0:00	0.13	0.13	0.13	0.25	0.25	0.25	0.38	0.38	0.38	0.50	0.50	0.50
1:00	0.13	0.13	0.13	0.25	0.25	0.25	0.38	0.38	0.38	0.50	0.50	0.50
2:00	0.13	0.13	0.13	0.25	0.25	0.25	0.38	0.38	0.38	0.50	0.50	0.50
3:00	0.13	0.13	0.13	0.25	0.25	0.25	0.38	0.38	0.38	0.50	0.50	0.50
4:00	0.13	0.13	0.13	0.25	0.25	0.25	0.38	0.38	0.38	0.50	0.50	0.50
5:00	0.13	0.13	0.13	0.25	0.25	0.25	0.38	0.38	0.38	0.50	0.50	0.50
6:00	3.38	0.33	0.13	6.75	0.67	0.25	10.13	1.00	0.38	13.51	1.33	0.50
7:00	0.54	0.33	0.54	1.08	0.67	1.08	1.63	1.00	1.63	2.17	1.33	2.17
8:00	0.54	7.05	3.79	1.08	14.09	7.59	1.63	21.14	11.38	2.17	28.18	15.18
9:00	0.13	0.13	0.33	0.25	0.25	0.67	0.38	0.38	1.00	0.50	0.50	1.33
10:00	0.33	0.13	0.54	0.67	0.25	1.08	1.00	0.38	1.63	1.33	0.50	2.17
11:00	0.13	0.13	0.33	0.25	0.25	0.67	0.38	0.38	1.00	0.50	0.50	1.33
12:00	3.38	0.13	3.38	6.75	0.25	6.75	10.13	0.38	10.13	13.51	0.50	13.51
13:00	0.33	0.13	0.33	0.67	0.25	0.67	1.00	0.38	1.00	1.33	0.50	1.33
14:00	0.13	0.13	0.13	0.25	0.25	0.25	0.38	0.38	0.38	0.50	0.50	0.50
15:00	0.13	0.13	0.13	0.25	0.25	0.25	0.38	0.38	0.38	0.50	0.50	0.50
16:00	0.33	0.13	0.54	0.67	0.25	1.08	1.00	0.38	1.63	1.33	0.50	2.17
17:00	0.33	0.13	6.42	0.67	0.25	12.84	1.00	0.38	19.26	1.33	0.50	25.68
18:00	6.42	0.13	6.42	12.84	0.25	12.84	19.26	0.38	19.26	25.68	0.50	25.68
19:00	6.42	0.13	0.13	12.84	0.25	0.25	19.26	0.38	0.38	25.68	0.50	0.50
20:00	0.33	0.54	0.33	0.67	1.08	0.67	1.00	1.63	1.00	1.33	2.17	1.33
21:00	0.33	0.33	6.28	0.67	0.67	12.56	1.00	1.00	18.84	1.33	1.33	25.12
22:00	6.28	3.52	6.49	12.56	7.03	12.98	18.84	10.55	19.47	25.12	14.06	25.95
23:00	6.70	6.28	3.31	13.39	12.56	6.61	20.09	18.84	9.92	26.79	25.12	13.23